"","unique.cellid","CGP.cellid","CCLE.cellid","GSK.cellid","NCI60.cellid","GRAY.cellid","GNE.cellid","CTRP.cellid","CGP_EMTAB3610.cellid","CCLE_rnaseq.cellid","GDSC.SNP.cellid","Ben_Neel.cellid","CTRPv2.cellid","CGP.tissueid","CCLE.tissueid","GSK.tissueid","NCI60.tissueid","GRAY.tissueid","GNE.tissueid","CTRP.tissueid","CGP_EMTAB3610.tissueid","CCLE_rnaseq.tissueid","GDSC.SNP.tissueid","Ben_Neel.tissueid","COSMIC.tissueid","unique.tissueid","CTRPv2.tissueid"
"794","BCP-1","","BCP-1","","","","","","","BCP-1","","","BCP1","","haematopoietic_and_lymphoid_tissue","","","","","","","haematopoietic_and_lymphoid_tissue","","","haematopoietic_and_lymphoid_tissue","haematopoietic_and_lymphoid_tissue","haematopoietic_and_lymphoid_tissue"
"795","BDCM","","BDCM","BDCM","","","","","","BDCM","","","BDCM","","haematopoietic_and_lymphoid_tissue","hematopoietic_and_lymphatic_system","","","","","","haematopoietic_and_lymphoid_tissue","","","","haematopoietic_and_lymphoid_tissue","haematopoietic_and_lymphoid_tissue"
"796","BGC-823","","BGC-823","","","","","","","","","",NA,"","","","","","","","","","","","","",NA
"797","BICR 16","","BICR 16","","","","","","","BICR_16","","","BICR16","","upper_aerodigestive_tract","","","","","","","upper_aerodigestive_tract","","","","upper_aerodigestive_tract","upper_aerodigestive_tract"
"798","BICR 18","","BICR 18","","","","","","","BICR_18","","","BICR18","","upper_aerodigestive_tract","","","","","","","upper_aerodigestive_tract","","","","upper_aerodigestive_tract","upper_aerodigestive_tract"
"799","BICR 22","","BICR 22","","","","BICR 22","","BICR22","BICR_22","BICR22","","BICR22","","upper_aerodigestive_tract","","","","Tongue","","Head & Neck","upper_aerodigestive_tract","","","","upper_aerodigestive_tract","upper_aerodigestive_tract"
"800","BICR 31","","BICR 31","","","","BICR 31","","BICR31","BICR_31","BICR31","","BICR31","","upper_aerodigestive_tract","","","","Tongue","","Head & Neck","upper_aerodigestive_tract","","","","upper_aerodigestive_tract","upper_aerodigestive_tract"
"801","BICR 56","","BICR 56","","","","","","","BICR_56","","","BICR56","","upper_aerodigestive_tract","","","","","","","upper_aerodigestive_tract","","","","upper_aerodigestive_tract","upper_aerodigestive_tract"
"802","BICR 6","","BICR 6","","","","","","","BICR_6","","","BICR6","","upper_aerodigestive_tract","","","","","","","upper_aerodigestive_tract","","","","upper_aerodigestive_tract","upper_aerodigestive_tract"
"803","BJ hTERT","","BJ hTERT","","","","","","","","","",NA,"","skin","","","","","","","","","","","skin",NA
"804","BT-483","","BT-483","","","BT483","BT-483","","BT-483","BT-483","BT-483","bt483",NA,"","breast","","","breast","Breast","","Breast","breast","","breast","breast","breast",NA
