"","unique.cellid","CGP.cellid","CCLE.cellid","GSK.cellid","NCI60.cellid","GRAY.cellid","GNE.cellid","CTRP.cellid","CGP_EMTAB3610.cellid","CCLE_rnaseq.cellid","GDSC.SNP.cellid","Ben_Neel.cellid","CTRPv2.cellid","CGP.tissueid","CCLE.tissueid","GSK.tissueid","NCI60.tissueid","GRAY.tissueid","GNE.tissueid","CTRP.tissueid","CGP_EMTAB3610.tissueid","CCLE_rnaseq.tissueid","GDSC.SNP.tissueid","Ben_Neel.tissueid","COSMIC.tissueid","unique.tissueid","CTRPv2.tissueid"
"259","HeLaSF","HeLaSF","","","","","","","HeLaSF","","","",NA,"cervix","","","","","","","Cervix","","","","cervix","cervix",NA
"260","H-EMC-SS","H-EMC-SS","","","","","","","H-EMC-SS","","H-EMC-SS","",NA,"bone","","","","","","","Bone","","bone ","","bone","bone",NA
"261","HGC-27","HGC-27","HGC-27","","","","HGC-27","","HGC-27","HGC-27","HGC-27","","HGC27","stomach","stomach","","","","Stomach","","Stomach","stomach","digestive_system ","","stomach","stomach","stomach"
"262","HH","HH","HH","HH","","","","","HH","HH","HH","","HH","haematopoietic_and_lymphoid_tissue","haematopoietic_and_lymphoid_tissue","hematopoietic_and_lymphatic_system","","","","","Blood","haematopoietic_and_lymphoid_tissue","blood ","","haematopoietic_and_lymphoid_tissue","haematopoietic_and_lymphoid_tissue","haematopoietic_and_lymphoid_tissue"
"263","HL-60","HL-60","HL-60","HL60","LE:HL_60","","HL-60","","HL-60","HL-60","HL-60","","HL60","haematopoietic_and_lymphoid_tissue","haematopoietic_and_lymphoid_tissue","hematopoietic_and_lymphatic_system","LE","","Blood","","Blood","haematopoietic_and_lymphoid_tissue","blood ","","haematopoietic_and_lymphoid_tissue","haematopoietic_and_lymphoid_tissue","haematopoietic_and_lymphoid_tissue"
"264","HLE","HLE","HLE","","","","","","HLE","","HLE","",NA,"liver","liver","","","","","","Liver","","digestive_system ","","liver","liver",NA
"265","HMV-II","HMV-II","","","","","","","HMV-II","","HMV-II","",NA,"skin","","","","","","","Skin","","skin ","","skin","skin",NA
"266","HN","HN","HN","","","","HN","","HN","","HN","",NA,"upper_aerodigestive_tract","upper_aerodigestive_tract","","","","Oral Cavity","","Head & Neck","","aero_digestive_tract ","","upper_aerodigestive_tract","upper_aerodigestive_tract",NA
"267","HO-1-N-1","HO-1-N-1","","","","","","","HO-1-N-1","","HO-1-N-1","",NA,"upper_aerodigestive_tract","","","","","","","Head & Neck","","aero_digestive_tract ","","upper_aerodigestive_tract","upper_aerodigestive_tract",NA
"268","HOP-62","HOP-62","","HOP62","LC:HOP_62","","HOP-62","","HOP-62","HOP-62","HOP-62","","HOP62","lung","","lung","LC","","Lung","","Lung","lung","lung ","","lung","lung",""
"269","HOP-92","HOP-92","","HOP92","LC:HOP_92","","HOP-92","","HOP-92","HOP-92","HOP-92","","HOP92","lung","","lung","LC","","Lung","","Lung:NSCLC","lung","lung ","","lung","lung",""
"270","HOS","HOS","HOS","HOS","","","","","HOS","HOS","HOS","","HOS","bone","bone","sarcoma","","","","","Bone","bone","bone ","","bone","bone","bone"
"271","HPAF-II","HPAF-II","HPAF-II","HPAFII","","","HPAF-II","","HPAF-II","HPAF-II","HPAF-II","","HPAFII","pancreas","pancreas","pancreas","","","Pancreas","","Pancreas","pancreas","pancreas ","","pancreas","pancreas","pancreas"
"272","Hs-578-T","Hs-578-T","Hs 578T","","BR:HS578T","HS578T","Hs 578T","","Hs-578-T","Hs_578T","Hs-578-T","hs578t","HS578T","breast","breast","","BR","breast","Breast","","breast","breast","breast ","breast","breast","breast","breast"
"273","HSC-2","HSC-2","HSC-2","","","","","HSC2","HSC-2","HSC-2","HSC-2","","HSC2","upper_aerodigestive_tract","upper_aerodigestive_tract","","","","","UPPER_AERODIGESTIVE_TRACT","upper_aerodigestive_tract","upper_aerodigestive_tract","aero_digestive_tract ","","upper_aerodigestive_tract","upper_aerodigestive_tract","upper_aerodigestive_tract"
"274","HSC-3","HSC-3","HSC-3","","","","","","HSC-3","HSC-3","HSC-3","","HSC3","upper_aerodigestive_tract","upper_aerodigestive_tract","","","","","","Head & Neck","upper_aerodigestive_tract","aero_digestive_tract ","","upper_aerodigestive_tract","upper_aerodigestive_tract","upper_aerodigestive_tract"
"275","HSC-4","HSC-4","HSC-4","","","","","","HSC-4","HSC-4","HSC-4","","HSC4","upper_aerodigestive_tract","upper_aerodigestive_tract","","","","","","Head & Neck","upper_aerodigestive_tract","aero_digestive_tract ","","upper_aerodigestive_tract","upper_aerodigestive_tract","upper_aerodigestive_tract"
"276","HT","HT","HT","HT","","","HT","HT","","HT","HT","","HT","haematopoietic_and_lymphoid_tissue","haematopoietic_and_lymphoid_tissue","hematopoietic_and_lymphatic_system","","","Lymph Node","HEMATOPOIETIC_AND_LYMPHOID_TISSUE","","haematopoietic_and_lymphoid_tissue","blood ","","haematopoietic_and_lymphoid_tissue","haematopoietic_and_lymphoid_tissue","haematopoietic_and_lymphoid_tissue"
"277","HT-1080","HT-1080","HT-1080","HT1080","","","HT-1080","HT1080","HT-1080","HT-1080","","","HT1080","soft_tissue","soft_tissue","connective_tissue","","","Lung","SOFT_TISSUE","Miscellaneous","soft_tissue","","","soft_tissue","soft_tissue","soft_tissue"
"278","HT-1197","HT-1197","HT-1197","HT1197","","","","","HT-1197","HT-1197","HT-1197","","HT1197","urinary_tract","urinary_tract","bladder","","","","","Bladder","urinary_tract","urogenital_system ","","urinary_tract","urinary_tract","urinary_tract"
"279","HT-1376","HT-1376","HT-1376","HT1376","","","","HT1376","HT-1376","HT-1376","HT-1376","","HT1376","urinary_tract","urinary_tract","bladder","","","","URINARY_TRACT","Bladder","urinary_tract","urogenital_system ","","urinary_tract","urinary_tract","urinary_tract"
"280","HT-144","HT-144","HT-144","","","","HT-144","","HT-144","HT-144","HT-144","","HT144","skin","skin","","","","Skin","","Skin","skin","skin ","","skin","skin","skin"
"281","HT-29","HT-29","HT-29","HT29","CO:HT29","","HT-29","HT29","HT-29","HT-29","HT-29","","HT29","large_intestine","large_intestine","colon","CO","","Colon","LARGE_INTESTINE","Intestin","large_intestine","digestive_system ","","large_intestine","large_intestine","large_intestine"
"282","HT-3","HT-3","","HT3","","","","","HT-3","","HT-3","",NA,"cervix","","cervix_uteri","","","","","Cervix","","urogenital_system ","","cervix","cervix",NA
"283","HT55","HT55","HT55","","","","HT-55","HT55","HT55","HT55","HT55","","HT55","large_intestine","large_intestine","","","","Colon","LARGE_INTESTINE","Intestine","large_intestine","digestive_system ","","large_intestine","large_intestine","large_intestine"
"284","HTC-C3","HTC-C3","","","","","","","HTC-C3","","HTC-C3","",NA,"thyroid","","","","","","","Thyroid","","thyroid ","","thyroid","thyroid",NA
"285","HuCCT1","HuCCT1","HuCCT1","","","","","","HuCCT1","HuCCT1","HuCCT1","","HUCCT1","biliary_tract","biliary_tract","","","","","","Liver","biliary_tract","digestive_system ","","biliary_tract","biliary_tract","biliary_tract"
"286","HuH-28","HuH-28","HuH28","","","","","","","","","","HUH28","biliary_tract","biliary_tract","","","","","","","","","","biliary_tract","biliary_tract","biliary_tract"
"287","HUH-6-clone5","HUH-6-clone5","HuH-6","","","","","","","HuH-6","HUH-6-clone5","","HUH6","liver","liver","","","","","","","liver","","","liver","liver","liver"
"288","HuH-7","HuH-7","HuH-7","","","","HuH-7","","HuH-7","HuH-7","HuH-7","",NA,"liver","liver","","","","Liver","","Liver","liver","digestive_system ","","liver","liver",NA
"289","HuNS1","HuNS1","HuNS1","HUNS1","","","","","","HuNS1","","","HUNS1","haematopoietic_and_lymphoid_tissue","haematopoietic_and_lymphoid_tissue","hematopoietic_and_lymphatic_system","","","","","","haematopoietic_and_lymphoid_tissue","","","haematopoietic_and_lymphoid_tissue","haematopoietic_and_lymphoid_tissue","haematopoietic_and_lymphoid_tissue"
"290","HuO-3N1","HuO-3N1","","","","","","","HuO-3N1","","HuO-3N1","",NA,"bone","","","","","","","Bone","","bone ","","bone","bone",NA
"291","HuO9","HuO9","","","","","","","HuO9","","HuO9","",NA,"bone","","","","","","","Bone","","bone ","","bone","bone",NA
"292","HuP-T3","HuP-T3","HUP-T3","","","","HUP-T3","","HuP-T3","HUP-T3","HuP-T3","","HUPT3","pancreas","pancreas","","","","Pancreas","","Pancreas","pancreas","pancreas ","","pancreas","pancreas","pancreas"
"293","HuP-T4","HuP-T4","HUP-T4","HUPT4","","","HUP-T4","HUPT4","HuP-T4","HUP-T4","HuP-T4","","HUPT4","pancreas","pancreas","pancreas","","","Pancreas","PANCREAS","Pancreas","pancreas","pancreas ","","pancreas","pancreas","pancreas"
"294","HUTU-80","HUTU-80","HuTu 80","","","","","","HUTU-80","HuTu_80","","",NA,"small_intestine","small_intestine","","","","","","Intestine","small_intestine","","","small_intestine","small_intestine",NA
"295","IA-LM","IA-LM","IA-LM","","","","","","IA-LM","IA-LM","IA-LM","","IALM","lung","lung","","","","","","Lung","lung","lung ","","lung","lung","lung"
"296","IGR-1","IGR-1","IGR-1","","","","","","IGR-1","IGR-1","IGR-1","","IGR1","skin","skin","","","","","","Skin","skin","skin ","","skin","skin","skin"
"297","IGROV-1","IGROV-1","IGROV1","IGROV1","OV:IGROV1","","IGROV-1","IGROV1","IGROV-1","IGROV1","IGROV-1","","IGROV1","ovary","ovary","ovary","OV","","Ovary","OVARY","Ovary","ovary","urogenital_system ","","ovary","ovary","ovary"
"298","IM-9","IM-9","","","","","","","IM-9","","","",NA,"haematopoietic_and_lymphoid_tissue","","","","","","","Blood","","","","haematopoietic_and_lymphoid_tissue","haematopoietic_and_lymphoid_tissue",NA
"299","IMR-5","IMR-5","","","","","","","IMR-5","","IMR-5","",NA,"autonomic_ganglia","","","","","","","PNS","","nervous_system ","","autonomic_ganglia","autonomic_ganglia",NA
"300","IPC-298","IPC-298","IPC-298","","","","IPC-298","","IPC-298","IPC-298","IPC-298","","IPC298","skin","skin","","","","Skin","","Skin","skin","skin ","","skin","skin","skin"
"301","IST-MEL1","IST-MEL1","","","","","","","IST-MEL1","","IST-MEL1","",NA,"skin","","","","","","","Skin","","skin ","","skin","skin",NA
"302","IST-MES1","IST-MES1","IST-MES1","","","","","","IST-MES1","IST-MES1","IST-MES1","","ISTMES1","pleura","pleura","","","","","","Lung","pleura","lung ","","pleura","pleura","pleura"
"303","IST-SL1","IST-SL1","","","","","","","IST-SL1","","IST-SL1","",NA,"lung","","","","","","","Lung","","lung ","","lung","lung",NA
"304","IST-SL2","IST-SL2","","","","","","","IST-SL2","","IST-SL2","",NA,"lung","","","","","","","Lung","","lung ","","lung","lung",NA
"305","ITO-II","ITO-II","","","","","","","","","","",NA,"testis","","","","","","","","","","","testis","testis",NA
"306","J82","J82","J82","J82","","","","","J82","J82","J82","","J82","urinary_tract","urinary_tract","bladder","","","","","Bladder","urinary_tract","urogenital_system ","","urinary_tract","urinary_tract","urinary_tract"
"307","JAR","JAR","","JAR","","","","","JAR","","JAR","",NA,"testis","","placenta","","","","","Miscellaneous","","urogenital_system ","","testis","testis",NA
"308","JEG-3","JEG-3","","JEG3","","","","","JEG-3","","JEG-3","",NA,"placenta","","placenta","","","","","Uterus","","urogenital_system ","","placenta","placenta",NA
"309","JiyoyeP-2003","JiyoyeP-2003","","JIYOYE","","","","","JiyoyeP-2003","","","",NA,"haematopoietic_and_lymphoid_tissue","","hematopoietic_and_lymphatic_system","","","","","Blood","","","","haematopoietic_and_lymphoid_tissue","haematopoietic_and_lymphoid_tissue",NA
"310","J-RT3-T3-5","J-RT3-T3-5","","JRT3T35","","","","","J-RT3-T3-5","","","",NA,"haematopoietic_and_lymphoid_tissue","","hematopoietic_and_lymphatic_system","","","","","Blood","","","","haematopoietic_and_lymphoid_tissue","haematopoietic_and_lymphoid_tissue",NA
"311","JVM-2","JVM-2","JVM-2","","","","","","JVM-2","JVM-2","","","JVM2","haematopoietic_and_lymphoid_tissue","haematopoietic_and_lymphoid_tissue","","","","","","haematopoietic_and_lymphoid_tissue","haematopoietic_and_lymphoid_tissue","","","haematopoietic_and_lymphoid_tissue","haematopoietic_and_lymphoid_tissue","haematopoietic_and_lymphoid_tissue"
"312","JVM-3","JVM-3","JVM-3","JVM3","","","","","JVM-3","JVM-3","","","JVM3","haematopoietic_and_lymphoid_tissue","haematopoietic_and_lymphoid_tissue","hematopoietic_and_lymphatic_system","","","","","Blood","haematopoietic_and_lymphoid_tissue","","","haematopoietic_and_lymphoid_tissue","haematopoietic_and_lymphoid_tissue","haematopoietic_and_lymphoid_tissue"
"313","K052","K052","KO52","","","","","","K052","","KO52","","KO52","haematopoietic_and_lymphoid_tissue","haematopoietic_and_lymphoid_tissue","","","","","","Blood","","","","haematopoietic_and_lymphoid_tissue","haematopoietic_and_lymphoid_tissue","haematopoietic_and_lymphoid_tissue"
"314","K5","K5","","","","","","","K5","","K5","",NA,"thyroid","","","","","","","thyroid","","thyroid ","","thyroid","thyroid",NA
"315","K-562","K-562","K-562","K562","LE:K_562","","K-562","","K-562","K-562","K-562","","K562","haematopoietic_and_lymphoid_tissue","haematopoietic_and_lymphoid_tissue","hematopoietic_and_lymphatic_system","LE","","Blood","","haematopoietic_and_lymphoid_tissue","haematopoietic_and_lymphoid_tissue","blood ","","haematopoietic_and_lymphoid_tissue","haematopoietic_and_lymphoid_tissue","haematopoietic_and_lymphoid_tissue"
"316","KALS-1","KALS-1","KALS-1","","","","","","KALS-1","KALS-1","KALS-1","","KALS1","central_nervous_system","central_nervous_system","","","","","","CNS","central_nervous_system","nervous_system ","","central_nervous_system","central_nervous_system","central_nervous_system"
"317","KARPAS-299","KARPAS-299","KARPAS-299","","","","","","KARPAS-299","KARPAS-299","KARPAS-299","","KARPAS299","haematopoietic_and_lymphoid_tissue","haematopoietic_and_lymphoid_tissue","","","","","","haematopoietic_and_lymphoid_tissue","haematopoietic_and_lymphoid_tissue","blood ","","haematopoietic_and_lymphoid_tissue","haematopoietic_and_lymphoid_tissue","haematopoietic_and_lymphoid_tissue"
"318","KARPAS-422","KARPAS-422","KARPAS-422","","","","KARPAS-422","","KARPAS-422","KARPAS-422","KARPAS-422","","KARPAS422","haematopoietic_and_lymphoid_tissue","haematopoietic_and_lymphoid_tissue","","","","Blood","","Blood","haematopoietic_and_lymphoid_tissue","blood ","","haematopoietic_and_lymphoid_tissue","haematopoietic_and_lymphoid_tissue","haematopoietic_and_lymphoid_tissue"
"319","KARPAS-45","KARPAS-45","","","","","","","KARPAS-45","","KARPAS-45","",NA,"haematopoietic_and_lymphoid_tissue","","","","","","","haematopoietic_and_lymphoid_tissue","","blood ","","haematopoietic_and_lymphoid_tissue","haematopoietic_and_lymphoid_tissue",NA
"320","KASUMI-1","KASUMI-1","KASUMI-1","","","","Kasumi-1","","KASUMI-1","KASUMI-1","KASUMI-1","","KASUMI1","haematopoietic_and_lymphoid_tissue","haematopoietic_and_lymphoid_tissue","","","","Blood","","Blood","haematopoietic_and_lymphoid_tissue","blood ","","haematopoietic_and_lymphoid_tissue","haematopoietic_and_lymphoid_tissue","haematopoietic_and_lymphoid_tissue"
"321","KATOIII","KATOIII","KATO III","KATOIII","","","KATO III","","KATOIII","KATO_III","KATOIII","","KATOIII","stomach","stomach","stomach","","","Stomach","","Stomach","stomach","","","stomach","stomach","stomach"
"322","KE-37","KE-37","KE-37","","","","","","KE-37","KE-37","KE-37","","KE37","haematopoietic_and_lymphoid_tissue","haematopoietic_and_lymphoid_tissue","","","","","","Blood","haematopoietic_and_lymphoid_tissue","blood ","","haematopoietic_and_lymphoid_tissue","haematopoietic_and_lymphoid_tissue","haematopoietic_and_lymphoid_tissue"
"323","KG-1","KG-1","KG-1","KG1","","","KG-1","","KG-1","KG-1","KG-1","",NA,"haematopoietic_and_lymphoid_tissue","haematopoietic_and_lymphoid_tissue","hematopoietic_and_lymphatic_system","","","Blood","","haematopoietic_and_lymphoid_tissue","haematopoietic_and_lymphoid_tissue","blood ","","haematopoietic_and_lymphoid_tissue","haematopoietic_and_lymphoid_tissue",NA
"324","KGN","KGN","","","","","","","KGN","","KGN","",NA,"ovary","","","","","","","Ovary","","urogenital_system ","","ovary","ovary",NA
"325","KINGS-1","KINGS-1","","","","","","","KINGS-1","","KINGS-1","",NA,"central_nervous_system","","","","","","","CNS","","nervous_system ","","central_nervous_system","central_nervous_system",NA
"326","KLE","KLE","KLE","KLE","","","KLE","KLE","KLE","KLE","KLE","","KLE","endometrium","endometrium","uterus","","","Uterus","ENDOMETRIUM","Uterus","endometrium","urogenital_system ","","endometrium","endometrium","endometrium"
"327","KM12","KM12","KM12","KM12","CO:KM12","","KM-12","KM12","KM12","KM12","KM12","","KM12","large_intestine","large_intestine","colon","CO","","Colon","LARGE_INTESTINE","large_intestine","large_intestine","digestive_system ","","large_intestine","large_intestine","large_intestine"
"328","KM-H2","KM-H2","KM-H2","","","","","","KM-H2","KM-H2","KM-H2","","KMH2","haematopoietic_and_lymphoid_tissue","haematopoietic_and_lymphoid_tissue","","","","","","Blood","haematopoietic_and_lymphoid_tissue","blood ","","haematopoietic_and_lymphoid_tissue","haematopoietic_and_lymphoid_tissue","haematopoietic_and_lymphoid_tissue"
"329","KMOE-2","KMOE-2","","","","","","","KMOE-2","","KMOE-2","",NA,"haematopoietic_and_lymphoid_tissue","","","","","","","Blood","","blood ","","haematopoietic_and_lymphoid_tissue","haematopoietic_and_lymphoid_tissue",NA
"330","KMS-12-BM","KMS-12-BM","KMS-12-BM","","","","KMS-12-BM","","KMS-12-BM","KMS-12-BM","KMS-12-BM","","KMS12BM","","haematopoietic_and_lymphoid_tissue","","","","Blood","","Blood","haematopoietic_and_lymphoid_tissue","","","","haematopoietic_and_lymphoid_tissue","haematopoietic_and_lymphoid_tissue"
"331","KMS-12-PE","KMS-12-PE","","","","","KMS-12-PE","","","","","",NA,"haematopoietic_and_lymphoid_tissue","","","","","Bone Marrow","","","","","","haematopoietic_and_lymphoid_tissue","haematopoietic_and_lymphoid_tissue",NA
"332","KNS-42","KNS-42","KNS-42","","","","","","KNS-42","KNS-42","KNS-42","","KNS42","central_nervous_system","central_nervous_system","","","","","","CNS","central_nervous_system","nervous_system ","","central_nervous_system","central_nervous_system","central_nervous_system"
"333","KNS-62","KNS-62","KNS-62","","","","KNS-62","KNS62","KNS-62","KNS-62","KNS-62","","KNS62","lung","lung","","","","Lung","LUNG","Lung","lung","lung ","","lung","lung","lung"
"334","KNS-81-FD","KNS-81-FD","KNS-81","","","","","","KNS-81-FD","KNS-81","KNS-81-FD","",NA,"central_nervous_system","central_nervous_system","","","","","","CNS","central_nervous_system","nervous_system ","","central_nervous_system","central_nervous_system",NA
"335","KOSC-2","KOSC-2","","","","","","","KOSC-2","","KOSC-2","",NA,"upper_aerodigestive_tract","","","","","","","Head & Neck","","aero_digestive_tract ","","upper_aerodigestive_tract","upper_aerodigestive_tract",NA
"336","KP-4","KP-4","KP4","","","","KP4","","KP-4","KP4","KP-4","","KP4","pancreas","pancreas","","","","Pancreas","","Pancreas","pancreas","pancreas ","","pancreas","pancreas","pancreas"
"337","KP-N-RT-BM-1","KP-N-RT-BM-1","KP-N-RT-BM-1","","","","","","","KP-N-RT-BM-1","KP-N-RT-BM-1","",NA,"autonomic_ganglia","autonomic_ganglia","","","","","","","autonomic_ganglia","nervous_system ","","autonomic_ganglia","autonomic_ganglia",NA
"338","KP-N-S19s","KP-N-S19s","KP-N-SI9s","","","","","","","KP-N-SI9s","","","KPNSI9S","autonomic_ganglia","autonomic_ganglia","","","","","","","autonomic_ganglia","","","autonomic_ganglia","autonomic_ganglia","autonomic_ganglia"
"339","KP-N-YN","KP-N-YN","KP-N-YN","","","","","","KP-N-YN","KP-N-YN","KP-N-YN","","KPNYN","autonomic_ganglia","autonomic_ganglia","","","","","","autonomic_ganglia","autonomic_ganglia","nervous_system ","","autonomic_ganglia","autonomic_ganglia","autonomic_ganglia"
"340","KP-N-YS","KP-N-YS","","","","","","","","","KP-N-YS","",NA,"autonomic_ganglia","","","","","","","","","nervous_system ","","autonomic_ganglia","autonomic_ganglia",NA
"341","KS-1","KS-1","KS-1","","","","","","KS-1","KS-1","KS-1","",NA,"central_nervous_system","central_nervous_system","","","","","","CNS","central_nervous_system","nervous_system ","","central_nervous_system","central_nervous_system",NA
"342","KU-19-19","KU-19-19","KU-19-19","","","","","","KU-19-19","KU-19-19","KU-19-19","","KU1919","urinary_tract","urinary_tract","","","","","","urinary_tract","urinary_tract","urogenital_system ","","urinary_tract","urinary_tract","urinary_tract"
"343","KU812","KU812","KU812","KU812","","","KU812","KU812","KU812","KU812","KU812","","KU812","haematopoietic_and_lymphoid_tissue","haematopoietic_and_lymphoid_tissue","hematopoietic_and_lymphatic_system","","","Blood","HEMATOPOIETIC_AND_LYMPHOID_TISSUE","Blood","haematopoietic_and_lymphoid_tissue","blood ","","haematopoietic_and_lymphoid_tissue","haematopoietic_and_lymphoid_tissue","haematopoietic_and_lymphoid_tissue"
"344","KURAMOCHI","KURAMOCHI","KURAMOCHI","","","","KURAMOCHI","","KURAMOCHI","KURAMOCHI","KURAMOCHI","","KURAMOCHI","ovary","ovary","","","","Ovary","","Ovary","ovary","urogenital_system ","","ovary","ovary","ovary"
"345","KY821","KY821","","","","","","","KY821","","KY821","",NA,"haematopoietic_and_lymphoid_tissue","","","","","","","Blood","","blood ","","haematopoietic_and_lymphoid_tissue","haematopoietic_and_lymphoid_tissue",NA
"346","KYSE-140","KYSE-140","KYSE-140","","","","KYSE-140","KYSE140","KYSE-140","KYSE-140","","","KYSE140","oesophagus","oesophagus","","","","Esophagus","OESOPHAGUS","Esophagus","oesophagus","","","oesophagus","oesophagus","oesophagus"
"347","KYSE-150","KYSE-150","KYSE-150","","","","KYSE-150","","KYSE-150","KYSE-150","","","KYSE150","oesophagus","oesophagus","","","","Esophagus","","Esophagus","oesophagus","","","oesophagus","oesophagus","oesophagus"
"348","KYSE-180","KYSE-180","KYSE-180","","","","KYSE-180","","KYSE-180","KYSE-180","KYSE-180","","KYSE180","oesophagus","oesophagus","","","","Esophagus","","Esophagus","oesophagus","aero_digestive_tract ","","oesophagus","oesophagus","oesophagus"
"349","KYSE-270","KYSE-270","KYSE-270","","","","KYSE-270","","KYSE-270","KYSE-270","KYSE-270","",NA,"oesophagus","oesophagus","","","","Esophagus","","Esophagus","oesophagus","aero_digestive_tract ","","oesophagus","oesophagus",NA
"350","KYSE-410","KYSE-410","KYSE-410","","","","","KYSE410","KYSE-410","KYSE-410","KYSE-410","","KYSE410","oesophagus","oesophagus","","","","","OESOPHAGUS","Esophagus","oesophagus","aero_digestive_tract ","","oesophagus","oesophagus","oesophagus"
"351","KYSE-450","KYSE-450","KYSE-450","","","","KYSE-450","KYSE450","KYSE-450","KYSE-450","KYSE-450","","KYSE450","oesophagus","oesophagus","","","","Esophagus","OESOPHAGUS","Esophag","oesophagus","aero_digestive_tract ","","oesophagus","oesophagus","oesophagus"
"352","KYSE-510","KYSE-510","KYSE-510","","","","KYSE-510","","KYSE-510","KYSE-510","KYSE-510","","KYSE510","oesophagus","oesophagus","","","","Esophagus","","Esophagus","oesophagus","aero_digestive_tract ","","oesophagus","oesophagus","oesophagus"
"353","KYSE-520","KYSE-520","KYSE-520","","","","KYSE-520","","KYSE-520","KYSE-520","KYSE-520","","KYSE520","oesophagus","oesophagus","","","","Esophagus","","Esophagus","oesophagus","aero_digestive_tract ","","oesophagus","oesophagus","oesophagus"
"354","KYSE-70","KYSE-70","KYSE-70","","","","KYSE-70","","KYSE-70","KYSE-70","KYSE-70","","KYSE70","oesophagus","oesophagus","","","","Esophagus","","Esophagus","oesophagus","aero_digestive_tract ","","oesophagus","oesophagus","oesophagus"
"355","L-363","L-363","L-363","","","","L-363","","L-363","L-363","L-363","","L363","haematopoietic_and_lymphoid_tissue","haematopoietic_and_lymphoid_tissue","","","","Blood","","Blood","haematopoietic_and_lymphoid_tissue","blood ","","haematopoietic_and_lymphoid_tissue","haematopoietic_and_lymphoid_tissue","haematopoietic_and_lymphoid_tissue"
"356","L-428","L-428","L-428","L428","","","","","L-428","L-428","L-428","","L428","haematopoietic_and_lymphoid_tissue","haematopoietic_and_lymphoid_tissue","hematopoietic_and_lymphatic_system","","","","","haematopoietic_and_lymphoid_tissue","haematopoietic_and_lymphoid_tissue","blood ","","haematopoietic_and_lymphoid_tissue","haematopoietic_and_lymphoid_tissue","haematopoietic_and_lymphoid_tissue"
"357","L-540","L-540","L-540","","","","","","L-540","L-540","L-540","","L540","haematopoietic_and_lymphoid_tissue","haematopoietic_and_lymphoid_tissue","","","","","","Blood","haematopoietic_and_lymphoid_tissue","blood ","","haematopoietic_and_lymphoid_tissue","haematopoietic_and_lymphoid_tissue","haematopoietic_and_lymphoid_tissue"
"358","LAMA-84","LAMA-84","LAMA-84","","","","","","LAMA-84","LAMA-84","LAMA-84","","LAMA84","haematopoietic_and_lymphoid_tissue","haematopoietic_and_lymphoid_tissue","","","","","","Blood","haematopoietic_and_lymphoid_tissue","blood ","","haematopoietic_and_lymphoid_tissue","haematopoietic_and_lymphoid_tissue","haematopoietic_and_lymphoid_tissue"
"359","LAN-1","LAN-1","","","","","","","","","","",NA,"autonomic_ganglia","","","","","","","","","","","autonomic_ganglia","autonomic_ganglia",NA
"360","LAN-5","LAN-5","","","","","","","","","","",NA,"autonomic_ganglia","","","","","","","","","","","autonomic_ganglia","autonomic_ganglia",NA
"361","LAN-6","LAN-6","","","","","","","LAN-6","","LAN-6","",NA,"autonomic_ganglia","","","","","","","PNS","","nervous_system ","","autonomic_ganglia","autonomic_ganglia",NA
"362","LB1047-RCC","LB1047-RCC","","","","","","","LB1047-RCC","","LB1047-RCC","",NA,"kidney","","","","","","","kidney","","kidney ","","kidney","kidney",NA
"363","LB2241-RCC","LB2241-RCC","","","","","","","LB2241-RCC","","LB2241-RCC","",NA,"kidney","","","","","","","Kidney","","kidney ","","kidney","kidney",NA
"364","LB2518-MEL","LB2518-MEL","","","","","","","LB2518-MEL","","LB2518-MEL","",NA,"skin","","","","","","","skin","","skin ","","skin","skin",NA
"365","LB373-MEL-D","LB373-MEL-D","","","","","","","LB373-MEL-D","","LB373-MEL-D","",NA,"skin","","","","","","","skin","","skin ","","skin","skin",NA
"366","LB647-SCLC","LB647-SCLC","","","","","","","LB647-SCLC","","LB647-SCLC","",NA,"lung","","","","","","","Lung","","lung ","","lung","lung",NA
"367","LB771-HNC","LB771-HNC","","","","","","","LB771-HNC","","LB771-HNC","",NA,"upper_aerodigestive_tract","","","","","","","upper_aerodigestive_tract","","aero_digestive_tract ","","upper_aerodigestive_tract","upper_aerodigestive_tract",NA
"368","LB831-BLC","LB831-BLC","","","","","","","LB831-BLC","","LB831-BLC","",NA,"urinary_tract","","","","","","","urinary_tract","","urogenital_system ","","urinary_tract","urinary_tract",NA
"369","LB996-RCC","LB996-RCC","","","","","","","LB996-RCC","","LB996-RCC","",NA,"kidney","","","","","","","kidney","","kidney ","","kidney","kidney",NA
"370","LC-1F","LC-1F","LC-1F","","","","","","LC-1F","LC-1F","","","LC1F","lung","lung","","","","","","lung","lung","","","lung","lung","lung"
"371","LC-2-ad","LC-2-ad","","","","","","","LC-2-ad","","LC-2-ad","",NA,"lung","","","","","","","Lung","","lung ","","lung","lung",NA
"372","LC4-1","LC4-1","","","","","","","LC4-1","","LC4-1","",NA,"haematopoietic_and_lymphoid_tissue","","","","","","","Blood","","blood ","","haematopoietic_and_lymphoid_tissue","haematopoietic_and_lymphoid_tissue",NA
"373","LCLC-103H","LCLC-103H","LCLC-103H","","","","LCLC-103H","LCLC103H","LCLC-103H","LCLC-103H","LCLC-103H","","LCLC103H","lung","lung","","","","Lung","LUNG","Lung:NSCLC","lung","lung ","","lung","lung","lung"
